design_name,index,barrel_style,barrel_length,frame_grip_material,grip_style,release_date
Rude Boy,192,Island - IMM,5,Steel,Macropockets,2025-10-17
Marlboro Red,190,Island,5,Steel,172 Skater Terrain,2025-10-15
Lemon,189,Bull,3.75,Steel,Space Invaders,2025-10-13
Rare Air,191,Island,4.5,Titanium,Space Invaders,2025-10-10
Goodums,188,Island,4.5,Steel,Palmer,2025-10-08
Space Bird,181,Bushing,5,Steel,Honey,
Double G,180,Island w/Block,4.25,Steel,Macropockets,
B.I.A.,179,Island,4.25,Aluminum,Palmer,
Bonkers,178,Island,5.4,Steel,,
Super Goose,175,Island w/Block,4.5,Steel,Honey,
Wasted Rainbow,174,Island,4.5,Steel,Micropockets - Standard,2025-04-25
Team,173,Island - IMM,5,Steel,,
About Blackwing,172,,,,,
Atacms,171,,,,,
BABY COMP,170,,,,,
Bees on Parade,164,,,,,
Blood Shot,163,,,,,
Baby Bones,162,,,,,
Bread N Butter,161,,,,,
88+P,160,,,,,
About F40,159,,,,,
About Wasted Rainbow,158,,,,,
War Power,157,,,,,
Ghost,155,,,,,
Bird Flu,153,,,,,
Tina Turner,152,,,,,
2BBL,151,,,,,
Skeeyee,150,,,,,
Speed Bird,149,,,,,
Iconic,148,,,,,
Baby Bird,147,,,,,
Skellington,146,,,,,
Infiniverse,145,,,,,
Red Ryder,144,,,,,
Perfect AF,143,,,,,
Lioness,142,,,,,
Wingman,141,,,,,
VENOM 2,140,,,,,
Viscount,139,,,,,
Dirtybird,138,,,,,
New Pistol - Wide Body,137,,,,,
Double D,135,,,,,
Drip,134,,,,,
720,133,,,,,
CB 88,132,,,,,
Synical,131,,,,,
TTG,130,,,,,
Encore,129,,,,,
Fast 2088,128,,,,,
Super C,127,,,,,
Venom,124,,,,,
Thunderbird,123,,,,,
Calvin's Cherry,122,,,,,
Double P,121,,,,,
P1,120,,,,,
Sexy Red,119,,,,,
King Camo,117,,,,,
V88,116,,,,,
Corazòn,115,,,,,
BDS69,114,,,,,
RP5,109,,,,,
Honey Wars,106,,,,,
G2 Corsa,105,,,,,
The Gift,104,,,,,
Baby Monster,103,,,,,
Bone Crusher,102,,,,,
IMM My Way,96,,,,,
Gratitude 94,95,,,,,
Formula 44,94,,,,,
Performance Retro,93,,,,,
Zootiez,92,,,,,
Terminator IMM Open,91,,,,,
Elevated Air,89,,,,,
Gallenson's Bonehead,88,,,,,
Xcelerator Xpress,87,,,,,
Formula K,86,,,,,
